Geocode,County,Area,Percentage_in_Poverty ,Poverty_Category_Code,Number_of_Cases,Population_Size,Percent
35001000204,Bernalillo,Comanche Carlysle    ,0.11,3,52,"3,314",0.015691008
35001000205,Bernalillo,Comanche Carlysle    ,0.22,4,65,"3,302",0.019685039
35001000206,Bernalillo,Montgomery Louisiana    ,0.08,2,55,"2,994",0.018370073
35001000207,Bernalillo,Indian School Pennsylvania   ,0.14,3,67,"3,407",0.019665395
35001000208,Bernalillo,Comanche Carlysle    ,0.24,4,63,"2,796",0.022532189
35001000300,Bernalillo,Lomas Girard    ,0.18,3,69,"6,006",0.011488511
35001000401,Bernalillo,Lomas San Mateo   ,0.13,3,56,"4,430",0.012641084
35001000402,Bernalillo,Lomas San Mateo   ,0.12,3,38,"3,450",0.011014493
35001000501,Bernalillo,Lomas San Mateo   ,0.32,5,104,"2,613",0.039800995
35001000502,Bernalillo,Lomas San Mateo   ,0.26,4,76,"4,734",0.016054077
35001000601,Bernalillo,Indian School Pennsylvania   ,0.17,3,86,"3,857",0.022297122
35001000603,Bernalillo,Central Penn    ,0.47,6,203,"5,380",0.037732342
35001000604,Bernalillo,Central Penn    ,0.26,4,309,"4,371",0.070693205
35001000704,Bernalillo,Central Tabo    ,0.17,3,73,"3,769",0.019368533
35001000707,Bernalillo,Central Tabo    ,0.32,5,242,"6,326",0.038254821
35001000708,Bernalillo,Central Tabo    ,0.25,4,193,"6,247",0.03089483
35001000710,Bernalillo,East Gateway    ,0.07,2,91,"6,041",0.015063731
35001000711,Bernalillo,East Gateway    ,0.17,3,52,"4,491",0.011578713
35001000712,Bernalillo,Central Tabo    ,0.16,3,86,"4,329",0.01986602
35001000713,Bernalillo,Central Tabo    ,0.36,5,133,"6,162",0.021583901
35001000714,Bernalillo,Central Tabo    ,0.08,2,122,"4,784",0.025501672
35001000801,Military,     ,0.04,1,42,"4,125",0.010181818
35001000901,Bernalillo,Central Penn    ,0.52,6,279,"7,787",0.035828946
35001000903,Bernalillo,Central Penn    ,0.44,6,140,"6,165",0.02270884
35001000904,Bernalillo,Central Penn    ,0.27,4,100,"4,380",0.02283105
35001001101,Bernalillo,Lomas San Mateo   ,0.13,3,58,"5,186",0.011183957
35001001102,Bernalillo,Gibson University    ,0.27,4,51,"3,210",0.01588785
35001001200,Bernalillo,Gibson University    ,0.3,5,301,"7,414",0.040598867
35001001300,Bernalillo,Rio Bravo Second   ,0.35,5,151,"4,742",0.031843104
35001001400,Bernalillo,Lomas Broadway    ,0.35,5,74,"3,223",0.022959975
35001001500,Bernalillo,Lomas Broadway    ,0.23,4,61,"2,708",0.022525849
35001001600,Bernalillo,Gibson University    ,0.31,5,34,"2,571",0.013224426
35001001700,Bernalillo,Lomas Girard    ,0.29,4,42,"5,011",0.008381561
35001001800,Bernalillo,Lomas Girard    ,0.46,6,35,"2,897",0.012081464
35001001900,Bernalillo,Lomas Girard    ,0.12,3,13,"1,052",0.012357414
35001002000,Bernalillo,Lomas Broadway    ,0.38,5,60,"2,348",0.025553663
35001002100,Bernalillo,Lomas Broadway    ,0.39,5,52,"1,864",0.027896996
35001002200,Bernalillo,Lomas Broadway    ,0.18,3,49,"3,304",0.014830508
35001002300,Bernalillo,Central Coors    ,0.25,4,297,"9,085",0.032691249
35001002401,Bernalillo,Central Coors    ,0.15,3,167,"5,341",0.031267553
35001002402,Bernalillo,Central Coors    ,0.37,5,298,"8,479",0.035145654
35001002500,Bernalillo,Lomas Broadway    ,0.36,5,58,"2,419",0.02397685
35001002600,Bernalillo,Lomas Broadway    ,0.24,4,17,"1,039",0.016361886
35001002700,Bernalillo,Lomas Broadway    ,0.23,4,101,"3,645",0.027709191
35001002900,Bernalillo,Candelaria Second    ,0.2,4,148,"4,038",0.036651808
35001003001,Bernalillo,Candelaria Second    ,0.19,3,64,"4,951",0.012926681
35001003002,Bernalillo,Montano Rio Grande   ,0.18,3,45,"4,161",0.010814708
35001003100,Bernalillo,Montano Rio Grande   ,0.12,3,33,"2,913",0.011328527
35001003201,Bernalillo,Candelaria Second    ,0.19,3,57,"2,941",0.019381163
35001003202,Bernalillo,Candelaria Second    ,0.2,4,111,"5,478",0.02026287
35001003400,Bernalillo,Comanche Carlysle    ,0.41,6,243,"4,670",0.052034261
35001003501,Bernalillo,Alameda Edith    ,0.13,3,97,"5,669",0.017110602
35001003502,Bernalillo,Montano Rio Grande   ,0.09,2,59,"5,244",0.011250953
35001003600,Bernalillo,Alameda Edith    ,0.11,3,132,"6,206",0.021269739
35001003707,Bernalillo,Montgomery Louisiana    ,0.13,3,92,"5,087",0.018085316
35001003712,Bernalillo,Paseo Ventura    ,0.17,3,129,"5,084",0.025373721
35001003714,Bernalillo,Montgomery Louisiana    ,0.22,4,126,"7,176",0.017558528
35001003715,Bernalillo,Paseo Ventura    ,0.04,1,73,"4,244",0.017200754
35001003717,Bernalillo,Montgomery Moon    ,0.11,3,80,"5,415",0.014773777
35001003718,Bernalillo,Montgomery Moon    ,0.1,2,35,"2,472",0.014158576
35001003719,Bernalillo,Academy Tramway    ,0.15,3,111,"5,162",0.021503293
35001003721,Bernalillo,Academy Tramway    ,0.02,1,48,"6,320",0.007594937
35001003722,Bernalillo,Paseo Louisiana    ,0.12,3,114,"6,485",0.017579029
35001003723,Bernalillo,Paseo Louisiana    ,0.11,3,97,"5,704",0.01700561
35001003724,Bernalillo,Paseo Louisiana    ,0.08,2,35,"3,330",0.010510511
35001003725,Bernalillo,Paseo Louisiana    ,0.11,3,55,"4,719",0.011655012
35001003726,Bernalillo,Academy Tramway    ,0.04,1,17,"2,393",0.007104053
35001003728,Bernalillo,Academy Tramway    ,0.13,3,82,"4,549",0.01802594
35001003729,Bernalillo,Academy Tramway    ,0.05,1,24,"1,819",0.013194063
35001003730,Bernalillo,Paseo Ventura    ,0.02,1,54,"4,925",0.010964467
35001003731,Bernalillo,Paseo Ventura    ,0.04,1,80,"3,606",0.022185247
35001003732,Bernalillo,Paseo Ventura    ,0.03,1,115,"7,389",0.015563676
35001003733,Bernalillo,Comanche Carlysle    ,0.47,6,136,"3,745",0.036315087
35001003735,Bernalillo,Alameda Edith    ,0.06,2,115,"6,494",0.017708654
35001003736,Bernalillo,Alameda Edith    ,0.23,4,134,"2,015",0.066501241
35001003737,Bernalillo,Academy Tramway    ,0.04,1,26,"2,809",0.009255963
35001003738,Bernalillo,Academy Tramway    ,0.15,3,41,"4,920",0.008333333
35001003803,Bernalillo,East Mountain    ,0.04,1,19,"3,216",0.00590796
35001003804,Bernalillo,East Mountain    ,0.04,1,27,"5,512",0.004898403
35001003805,Bernalillo,East Mountain    ,0.07,2,16,"2,433",0.006576243
35001003806,Bernalillo,East Mountain    ,0.07,2,25,"3,533",0.007076139
35001003807,Bernalillo,East Mountain    ,0.1,3,42,"4,539",0.009253139
35001004001,Bernalillo,Rio Bravo Second   ,0.27,4,204,"5,085",0.040117994
35001004300,Bernalillo,Arenal Tapia    ,0.34,5,191,"5,190",0.036801541
35001004401,Bernalillo,Arenal Tapia    ,0.31,5,101,"3,236",0.031211372
35001004402,Bernalillo,Arenal Tapia    ,0.16,3,124,"4,109",0.030177659
35001004501,Bernalillo,Arenal Tapia    ,0.29,4,109,"3,619",0.030118817
35001004502,Bernalillo,Arenal Tapia    ,0.33,5,101,"3,628",0.02783903
35001004602,Bernalillo,Isleta Gun Club   ,0.18,3,102,"4,457",0.022885349
35001004603,Bernalillo,Isleta Gun Club   ,0.18,3,147,"3,694",0.039794261
35001004604,Bernalillo,Isleta Gun Club   ,0.21,4,165,"5,679",0.029054411
35001004712,Bernalillo,So. Ninetyeight    ,0.2,4,307,"7,425",0.041346801
35001004713,Bernalillo,Chavez OneEighteenth    ,0.12,3,294,"7,112",0.041338583
35001004715,Bernalillo,Chavez OneEighteenth    ,0.26,4,165,"5,409",0.030504714
35001004716,Bernalillo,Alameda Coors    ,0.16,3,22,"2,090",0.010526316
35001004717,Bernalillo,Alameda Coors    ,0.17,3,111,"7,831",0.014174435
35001004720,Bernalillo,Irving Unser    ,0.15,3,65,"3,575",0.018181818
35001004722,Bernalillo,Del Norte    ,0.16,3,68,"5,183",0.013119815
35001004723,Bernalillo,Del Norte    ,0.03,1,115,"7,416",0.015507012
35001004724,Bernalillo,Del Norte    ,0.04,1,46,"3,245",0.014175655
35001004725,Bernalillo,Del Norte    ,0.08,2,43,"3,776",0.011387712
35001004726,Bernalillo,Montano Coors    ,0.16,3,37,"2,526",0.014647664
35001004727,Bernalillo,Montano Coors    ,0.09,2,36,"1,930",0.01865285
35001004728,Bernalillo,Montano Coors    ,0.05,1,90,"5,201",0.017304365
35001004729,Bernalillo,Montano Coors    ,0.18,3,68,"3,684",0.018458198
35001004733,Bernalillo,Arenal Unser    ,0.25,4,305,"7,475",0.040802676
35001004734,Bernalillo,Arenal Unser    ,0.24,4,328,"7,566",0.043351837
35001004735,Bernalillo,Arenal Unser    ,0.19,3,137,"2,363",0.057977148
35001004736,Bernalillo,Chavez OneEighteenth    ,0.34,5,91,"1,160",0.078448276
35001004737,Bernalillo,Chavez OneEighteenth    ,0.15,3,318,"6,270",0.050717703
35001004738,Bernalillo,Chavez OneEighteenth    ,0.18,3,249,"5,653",0.044047408
35001004739,Bernalillo,So. Ninetyeight    ,0.27,4,284,"6,995",0.040600429
35001004740,Bernalillo,So. Ninetyeight    ,0.18,3,264,"7,574",0.034856087
35001004741,Bernalillo,So. Ninetyeight    ,0.24,4,317,"7,442",0.042596076
35001004742,Bernalillo,No. Ninetyeight    ,0.13,3,124,"6,425",0.019299611
35001004743,Bernalillo,No. Ninetyeight    ,0.06,2,70,"3,200",0.021875
35001004744,Bernalillo,No. Ninetyeight    ,0.06,2,151,"5,270",0.028652751
35001004745,Bernalillo,Alameda Coors    ,0.07,2,207,"6,663",0.031067087
35001004746,Bernalillo,Alameda Coors    ,0.14,3,144,"7,592",0.018967334
35001004747,Bernalillo,Irving Unser    ,0.04,1,71,"5,147",0.013794443
35001004748,Bernalillo,Irving Unser    ,0.09,2,133,"9,539",0.013942761
35001004749,Bernalillo,No. Ninetyeight    ,0.3,5,106,"4,410",0.024036281
35001004750,Bernalillo,No. Ninetyeight    ,0.07,2,131,"6,736",0.019447743
35001004751,Bernalillo,Irving Unser    ,0.06,2,62,"2,734",0.022677396
35001004752,Bernalillo,Irving Unser    ,0.1,2,64,"3,868",0.016546019
35001004753,Bernalillo,Irving Unser    ,0.07,2,54,"3,654",0.014778325
35001940500,Bernalillo,Paseo Ventura    ,0.05,1,15,"2,852",0.005259467
35001940600,Bernalillo,West Mesa,0.15,3,1247,"10,290",0.121185617
35001940700,Bernalillo,Southwest     ,0.27,4,81,"2,531",0.032003161
35003976400,Sierra/Catron,     ,0.23,4,13,"3,518",0.003695281
35005000201,Chaves,Roswell N.W.    ,0.22,4,160,"3,791",0.042205223
35005000202,Chaves,Roswell N.W.    ,0.21,4,180,"3,838",0.046899427
35005000300,Chaves,Roswell N.W.    ,0.24,4,297,"6,422",0.046247275
35005000400,Chaves,Roswell S.E.    ,0.24,4,201,"4,721",0.042575725
35005000500,Chaves,Roswell S.E.    ,0.3,5,115,"2,023",0.056846268
35005000600,Chaves,Roswell S.E.    ,0.37,5,335,"4,930",0.067951318
35005000700,Chaves,Roswell S.E.    ,0.18,3,278,"4,392",0.063296903
35005000800,Chaves,Roswell N.W.    ,0.16,3,294,"5,686",0.051705944
35005000900,Chaves,Roswell N.W.    ,0.13,3,154,"2,723",0.05655527
35005001001,Chaves,Roswell N.W.    ,0.08,2,225,"4,710",0.047770701
35005001002,Chaves,Roswell N.W.    ,0.13,3,153,"4,186",0.036550406
