Geocode,County,Area,Percentage_in_Poverty ,Poverty_Category_Code,Number_of_Cases,Population_Size,Percent
35035000601,Military,     ,0.11,3,19,"3,678",0.005165851
35035000602,Otero,,0.15,3,8,"2,223",0.00359874
35035000603,Otero,,0.17,3,16,"2,735",0.005850091
35035000700,Otero,,0.11,3,69,"6,182",0.011161436
35035000901,Otero,,0.15,3,19,"3,186",0.005963591
35035000902,Otero, ,0.47,6,1734,"10,442",0.166060142
35035940000,Otero,,0.32,5,255,"3,867",0.065942591
35037958601,Quay/DeBaca/Harding,     ,0.27,4,54,"2,903",0.018601447
35037958602,Quay/DeBaca/Harding,     ,0.27,4,46,"2,716",0.016936672
35037958900,Quay/DeBaca/Harding,     ,0.11,3,47,"2,749",0.017097126
35039000100,Rio Arriba,Espanola and Pueblos   ,0.27,4,15,"3,216",0.004664179
35039000200,Rio Arriba,Espanola and Pueblos   ,0.37,5,57,"3,627",0.015715467
35039000300,Rio Arriba,Espanola and Pueblos   ,0.22,4,46,"6,771",0.006793679
35039000400,Rio Arriba,North     ,0.22,4,34,"4,615",0.007367281
35039000500,Rio Arriba,North     ,0.26,4,28,"3,518",0.007959068
35039940700,Rio Arriba,Espanola and Pueblos   ,0.31,5,46,"3,343",0.013760096
35039940800,Rio Arriba,Espanola and Pueblos   ,0.2,3,45,"4,360",0.010321101
35039941000,Rio Arriba,North     ,0.29,4,249,"3,505",0.071041369
35039944100,Rio Arriba,Espanola and Pueblos   ,0.28,4,99,"6,162",0.016066212
35041000100,Roosevelt/Curry,,0.3,5,227,"4,630",0.049028078
35041000200,Roosevelt/Curry,,0.44,6,189,"3,647",0.051823417
35041000300,Roosevelt/Curry,,0.15,3,121,"4,217",0.028693384
35041000401,Roosevelt/Curry,,0.2,3,93,"3,246",0.028650647
35041000402,Roosevelt/Curry,,0.18,3,99,"3,615",0.027385892
35043010503,Sandoval,Bernalillo/Placitas     ,0.15,3,71,"3,785",0.018758256
35043010601,Sandoval,Corrales     ,0.07,2,42,"4,625",0.009081081
35043010602,Sandoval,Corrales     ,0.03,1,32,"4,274",0.007487131
35043010702,Sandoval,Rio Rancho Blvd No.  ,0.1,3,99,"7,027",0.014088516
35043010703,Sandoval,Rio Rancho Blvd No.  ,0.06,2,111,"9,312",0.011920103
35043010705,Sandoval,Rio Rancho So.   ,0.1,2,83,"6,449",0.012870212
35043010712,Sandoval,Rio Rancho So.   ,0.14,3,75,"5,670",0.013227513
35043010713,Sandoval,Rio Rancho West   ,0.18,3,74,"5,968",0.012399464
35043010714,Sandoval,Rio Rancho Blvd So.  ,0.16,3,59,"5,133",0.011494253
35043010715,Sandoval,Rio Rancho Blvd So.  ,0.13,3,46,"3,867",0.011895526
35043010716,Sandoval,Rio Rancho Blvd So.  ,0.14,3,141,"6,268",0.022495214
35043010717,Sandoval,Rio Rancho Blvd No.  ,0.1,2,201,"9,986",0.020128179
35043010718,Sandoval,Rio Rancho Blvd No.  ,0.08,2,109,"5,442",0.020029401
35043010719,Sandoval,Rio Rancho So.   ,0.14,3,45,"4,216",0.010673624
35043010720,Sandoval,Rio Rancho So.   ,0.05,1,160,"8,616",0.018570102
35043010721,Sandoval,Rio Rancho West   ,0.14,3,63,"4,845",0.013003096
35043010722,Sandoval,Rio Rancho West   ,0.12,3,132,"5,639",0.023408406
35043010723,Sandoval,Rio Rancho West   ,0.15,3,162,"11,130",0.014555256
35043010900,Sandoval,Cuba,0.3,5,258,"2,575",0.100194175
35043011000,Sandoval,Other East    ,0.2,3,52,"2,167",0.023996308
35043011100,Sandoval,Bernalillo/Placitas     ,0.13,3,48,"7,350",0.006530612
35043011200,Sandoval,Zia,0.19,3,123,"2,977",0.041316762
35043940200,Sandoval,Santo Domingo,0.35,5,283,"4,009",0.07059117
35043940300,Los Alamos,     ,,,,,
35043940500,Sandoval,Bernalillo/Placitas     ,0.24,4,105,"4,766",0.022031053
35043940600,Sandoval,Other West    ,0.26,4,31,"2,039",0.015203531
35043940700,Sandoval,San Felipe,0.24,4,313,"4,095",0.076434676
35043940900,Sandoval,Other West    ,0.68,6,56,"2,921",0.019171517
35045000100,San Juan, Farmington Southeast   ,0.31,5,117,"5,106",0.022914219
35045000201,San Juan, Farmington North   ,0.08,2,60,"4,272",0.014044944
35045000202,San Juan, Farmington North   ,0.06,2,145,"4,892",0.029640229
35045000204,San Juan, Farmington North   ,0.12,3,45,"2,232",0.02016129
35045000205,San Juan, Farmington Southeast   ,0.34,5,182,"6,723",0.027071248
35045000301,San Juan, Farmington North   ,0.15,3,85,"5,128",0.016575663
35045000302,San Juan, Farmington Southeast   ,0.19,3,69,"3,350",0.020597015
35045000401,San Juan, Farmington West/Kirtland/La Plata  ,0.2,3,122,"5,260",0.023193916
35045000402,San Juan,Farmington West,0.22,4,242,"3,611",0.067017447
35045000503,San Juan, Farmington West/Kirtland/La Plata  ,0.14,3,147,"3,197",0.045980607
35045000504,San Juan, Farmington West/Kirtland/La Plata  ,0.17,3,123,"2,037",0.060382916
35045000505,San Juan, Farmington West/Kirtland/La Plata  ,0.16,3,438,"7,529",0.058175056
35045000607,San Juan,Farmington East,0.16,3,362,"3,636",0.099559956
35045000608,San Juan, North/Aztec    ,0.16,3,95,"6,107",0.015555919
35045000609,San Juan, North/Aztec    ,0.16,3,14,"1,274",0.010989011
35045000610,San Juan, North/Aztec    ,0.22,4,42,"4,412",0.009519492
35045000611,San Juan, North/Aztec    ,0.04,1,20,"3,424",0.005841121
35045000612,San Juan,West Aztec ,0.11,3,107,"1,974",0.054204661
35045000613,San Juan, North/Aztec    ,0.11,3,51,"4,074",0.012518409
35045000702,San Juan, South    ,0.11,3,6,"1,143",0.005249344
35045000705,San Juan, Northeast/Bloomfield    ,0.27,4,67,"3,790",0.0176781
35045000706,San Juan, Northeast/Bloomfield    ,0.34,5,33,"3,153",0.010466223
35045000707,San Juan, Northeast/Bloomfield    ,0.12,3,79,"4,261",0.018540249
